1.	Qatar		11.41 €
2.	Oman		10.83 €
3.	Iceland		10.41 €
4.	United Arab Emirates		10.09 €
5.	Norway		9.67 €
6.	Israel		8.08 €
7.	Bahrain		7.41 €
8.	Denmark		7.37 €
9.	Switzerland		7.34 €
10.	Hong Kong (China)		7.15 €
11.	Finland		7.00 €
12.	Singapore		6.93 €
13.	Sweden		6.92 €
14.	Netherlands		6.00 €
15.	Ireland		6.00 €
16.	France		6.00 €
17.	United Kingdom		5.98 €
18.	New Zealand		5.87 €
19.	Australia		5.86 €
20.	United States		5.56 €
21.	Macao (China)		5.38 €
22.	Jordan		5.23 €
23.	Canada		5.20 €
24.	Luxembourg		5.00 €
25.	Italy		5.00 €
26.	Greece		5.00 €
27.	Estonia		5.00 €
28.	Austria		4.90 €
29.	Lithuania		4.80 €
30.	Latvia		4.50 €
31.	Germany		4.50 €
32.	Belgium		4.50 €
33.	Bangladesh		3.80 €
34.	Palestine		3.79 €
35.	Malta		3.50 €
36.	Cyprus		3.50 €
37.	Croatia		3.50 €
38.	Poland		3.36 €
39.	Uruguay		3.32 €
40.	South Korea		3.16 €
41.	Malaysia		3.14 €
42.	Japan		3.09 €
43.	Chile		3.02 €
44.	Spain		3.00 €
45.	Slovenia		3.00 €
46.	Guatemala		3.00 €
47.	Turkey		2.92 €
48.	Morocco		2.90 €
49.	Costa Rica		2.78 €
50.	Lebanon		2.78 €
51.	Kuwait		2.70 €
52.	Papua New Guinea		2.69 €
53.	Serbia		2.56 €
54.	Albania		2.53 €
55.	Fiji		2.52 €
56.	Portugal		2.50 €
57.	Montenegro		2.50 €
58.	Romania		2.41 €
59.	Jamaica		2.36 €
60.	Puerto Rico		2.32 €
61.	Barbados		2.32 €
62.	Argentina		2.32 €
63.	Indonesia		2.23 €
64.	Dominican Republic		2.19 €
65.	Sri Lanka		2.18 €
66.	Nepal		2.16 €
67.	Kenya		2.15 €
68.	Mexico		2.07 €
69.	Bosnia And Herzegovina		2.04 €
70.	Bulgaria		2.04 €
71.	Botswana		2.03 €
72.	South Africa		2.03 €
73.	Peru		2.03 €
74.	Mauritius		2.03 €
75.	Czech Republic		2.01 €
76.	Slovakia		2.00 €
77.	Kosovo (Disputed Territory)		2.00 €
78.	Hungary		2.00 €
79.	Guyana		1.98 €
80.	North Macedonia		1.95 €
81.	Thailand		1.91 €
82.	Panama		1.85 €
83.	El Salvador		1.85 €
84.	Ecuador		1.85 €
85.	Cuba		1.85 €
86.	Iraq		1.85 €
87.	India		1.84 €
88.	Saudi Arabia		1.73 €
89.	Taiwan		1.68 €
90.	Armenia		1.65 €
91.	Pakistan		1.65 €
92.	Russia		1.65 €
93.	Mongolia		1.64 €
94.	Trinidad And Tobago		1.63 €
95.	Brazil		1.62 €
96.	Bolivia		1.61 €
97.	Georgia		1.59 €
98.	Moldova		1.54 €
99.	Tunisia		1.49 €
100.	Zimbabwe		1.39 €
101.	Venezuela		1.39 €
102.	Syria		1.39 €
103.	Azerbaijan		1.36 €
104.	Algeria		1.35 €
105.	Egypt		1.28 €
106.	Namibia		1.27 €
107.	Uganda		1.26 €
108.	Nicaragua		1.26 €
109.	Philippines		1.20 €
110.	Ghana		1.20 €
111.	Paraguay		1.16 €
112.	Belarus		1.13 €
113.	Colombia		1.12 €
114.	Kazakhstan		1.10 €
115.	Uzbekistan		1.07 €
116.	Kyrgyzstan		1.07 €
117.	Mozambique		1.01 €
118.	Cameroon		0.99 €
119.	Ethiopia		0.93 €
120.	Ivory Coast		0.91 €
121.	Ukraine		0.91 €
122.	Vietnam		0.90 €
123.	China		0.89 €
124.	Tajikistan		0.89 €
125.	Nigeria		0.81 €
126.	Iran		0.63 €
127.	Libya		0.57 €
